Ref;Val;Package;PosX;PosY;Rot;Side
"C1";"4.7uF";"C_0805_2012Metric";-6.119000;-3.658091;270.000000;bottom
"C2";"10uF";"C_0805_2012Metric";-5.626000;-2.251091;90.000000;bottom
"C3";"4.7uF";"C_0805_2012Metric";-6.119000;-3.796909;90.000000;bottom
"C4";"10uF";"C_0805_2012Metric";-5.626000;-2.391091;270.000000;bottom
"C5";"10uF";"C_0805_2012Metric";-5.621091;-3.906000;0.000000;bottom
"C6";"22uF";"C_0805_2012Metric";-5.760500;-3.813500;270.000000;bottom
"C7";"0.1uF";"C_0805_2012Metric";-6.077091;-2.681000;0.000000;bottom
"C8";"0.1uF";"C_0805_2012Metric";-5.654000;-2.681000;180.000000;bottom
"C9";"0.1uF";"C_0805_2012Metric";-5.524000;-2.830000;90.000000;bottom
"C10";"0.1uF";"C_0805_2012Metric";-5.520000;-3.233091;270.000000;bottom
"C11";"10uF";"C_0805_2012Metric";-6.073091;-3.390000;0.000000;bottom
"C12";"22pF";"C_0805_2012Metric";-6.263091;-3.210000;0.000000;bottom
"C13";"22pF";"C_0805_2012Metric";-6.263091;-2.850000;0.000000;bottom
"C14";"1uF";"C_0805_2012Metric";-5.942791;-2.680900;180.000000;bottom
"D1";"D_Small";"D_SOD-123";-5.068461;-3.750000;0.000000;bottom
"D2";"Red";"LED_0805_2012Metric";-6.280909;-3.895000;180.000000;bottom
"D3";"Green";"LED_0805_2012Metric";-4.906591;-3.680000;0.000000;bottom
"D4";"D_Small";"D_SOD-123";-3.656000;-2.402000;90.000000;bottom
"F1";"500mA";"Fuse_1206_3216Metric";-5.068618;-3.655000;180.000000;bottom
"L1";"2.2uH";"L_0805_2012Metric";-5.486091;-3.906000;180.000000;bottom
"R1";"200";"R_0805_2012Metric";-4.906591;-3.757500;0.000000;bottom
"R2";"2k";"R_0805_2012Metric";-6.449000;-3.656909;270.000000;bottom
"R3";"470";"R_0805_2012Metric";-6.449000;-3.796909;90.000000;bottom
"R4";"750k";"R_0805_2012Metric";-5.621091;-3.586000;180.000000;bottom
"R5";"100k";"R_0805_2012Metric";-5.486091;-3.586000;180.000000;bottom
"R6";"22";"R_0805_2012Metric";-5.760000;-2.653091;90.000000;bottom
"R7";"22";"R_0805_2012Metric";-5.837200;-2.653091;90.000000;bottom
"R8";"10k";"R_0805_2012Metric";-6.520000;-2.816909;90.000000;bottom
"R9";"10k";"R_0805_2012Metric";-5.688091;-3.390000;0.000000;bottom
"R10";"1k";"R_0805_2012Metric";-5.328000;-3.742909;90.000000;bottom
"SW4";"SW_Push";"SW_SPST_SKQG_WithStem";-6.398000;-2.632000;180.000000;bottom
"U1";"NCP1117-3.3_SOT223";"SOT-223-3_TabPin2";-5.886000;-2.318000;0.000000;bottom
"U2";"MCP73831-5-OT";"SOT-23-5";-6.281598;-3.728307;90.000000;bottom
"U3";"PAM2401";"MSOP-8_3x3mm_P0.65mm";-5.544831;-3.743795;0.000000;bottom
"U4";"ATmega32U4-AU";"TQFP-44_10x10mm_P0.8mm";-5.880000;-3.030000;270.000000;bottom
"Y1";"16MHz";"Crystal_SMD_3225-4Pin_3.2x2.5mm";-6.260000;-3.030000;90.000000;bottom
