Id;Designator;Package;Quantity;Value;Part #
1;C14;805;1;1uF;
2;C8,C7,C9,C10;805;4;0.1uF;
3;C1,C3;805;2;4.7uF;
4;C2,C4,C5,C11;805;4;10uF;
5;C6;805;1;22uF;
6;C12,C13;805;2;22pF;
7;D1,D4;SOD-123;2;;1N4148W-TP
8;D2;805;1;Red;NCD0805R1
9;D3;805;1;Green;17-21/GHC-XS1T2M/3T
10;F1;1206;1;500mA;0ZCJ0050AF2E
11;L1;805;1;2.2uH;CMI201209U2R2KT
12;R1;805;1;200;
13;R2;805;1;2k;
14;R3;805;1;470;
15;R4;805;1;750k;
16;R5;805;1;100k;
17;R6,R7;805;2;22;
18;R8,R9;805;2;10k;
19;R10;805;1;1k;
20;SW4;SPST 5.10x5.10mm;1;SW_Push;TS-1187A-B-A-B
21;U1;SOT-223-3;1;NCP1117-3.3_SOT223;NCP1117ST33T3G
22;U2;SOT-23-5;1;MCP73831-5-OT;MCP73831-5-OT
23;U3;MSOP-8;1;PAM2401;PAM2401SCADJ
24;U4;TQFP-44;1;ATmega32U4-AU;ATmega32U4-AU
25;Y1;3225-4;1;16MHz;X1E000021037500
